brand,year,km_driven,fuel,transmission,owner,selling_price
Ford,2006,140442,Diesel,Manual,First,35000.0
Volkswagen,2013,133756,Diesel,Manual,First,279977.0
Volkswagen,2008,167183,Diesel,Manual,First,131408.0
Maruti,2017,160380,Diesel,Manual,Second,267846.0
Tata,2006,174872,Diesel,Manual,First,75832.0
Hyundai,2022,100649,Diesel,Automatic,Third,390864.0
Maruti,2023,69830,Petrol,Manual,First,460798.0
Ford,2014,103787,Petrol,Automatic,Second,234799.0
Tata,2020,150645,Petrol,Manual,Second,349619.0
Hyundai,2021,150728,Petrol,Automatic,Second,347767.0
Mahindra,2010,141627,Diesel,Manual,First,154375.0
Tata,2014,119525,Diesel,Automatic,Second,266270.0
Volkswagen,2006,102861,Petrol,Manual,First,64389.0
Renault,2011,178716,Petrol,Manual,First,146796.0
Hyundai,2013,120835,Diesel,Manual,First,279320.0
Hyundai,2016,61212,Petrol,Manual,Second,306456.0
Kia,2019,33222,Petrol,Manual,First,441922.0
Toyota,2015,46784,Diesel,Manual,First,358735.0
Toyota,2011,173332,Diesel,Manual,Third,161065.0
Volkswagen,2023,50699,Petrol,Manual,First,483910.0
Volkswagen,2007,84760,Petrol,Manual,First,50265.0
Volkswagen,2009,8416,Diesel,Manual,Second,204369.0
Ford,2006,118723,Petrol,Manual,First,75238.0
Hyundai,2006,120604,Petrol,Manual,First,42977.0
Tata,2024,106685,Diesel,Manual,Third,386316.0
Volkswagen,2011,86743,Petrol,Manual,First,210747.0
Mahindra,2008,105052,Petrol,Manual,First,106960.0
Maruti,2014,54797,Diesel,Automatic,First,280217.0
Ford,2011,24000,Petrol,Manual,Second,155880.0
Hyundai,2018,61118,CNG,Manual,First,357059.0
Toyota,2015,69911,Diesel,Manual,Third,316102.0
Mahindra,2021,113825,Petrol,Automatic,First,439652.0
Kia,2010,81141,Diesel,Automatic,Second,202883.0
Mahindra,2024,25296,Petrol,Automatic,Second,549625.0
Volkswagen,2022,21531,Petrol,Automatic,First,556893.0
Renault,2019,16837,Petrol,Manual,First,346866.0
Kia,2010,59306,CNG,Manual,First,232837.0
Honda,2020,35498,Petrol,Manual,First,456935.0
Volkswagen,2023,126495,Petrol,Automatic,Second,398098.0
Hyundai,2016,149541,Petrol,Automatic,First,312678.0
Mahindra,2007,90502,CNG,Manual,Third,35000.0
Mahindra,2018,109463,Diesel,Manual,First,394960.0
Hyundai,2005,174090,CNG,Automatic,First,35000.0
Maruti,2016,153221,Petrol,Automatic,Second,192814.0
Volkswagen,2011,97884,Diesel,Manual,First,181987.0
Ford,2017,24902,Diesel,Manual,First,314972.0
Renault,2024,135552,Petrol,Manual,First,479578.0
Renault,2021,38652,Petrol,Manual,Third,346848.0
Mahindra,2008,54826,Petrol,Manual,First,152582.0
Maruti,2008,150423,Diesel,Manual,First,136176.0
Volkswagen,2024,93292,Diesel,Manual,First,624639.0
Honda,2022,44912,Diesel,Manual,First,484694.0
Hyundai,2006,150855,CNG,Manual,Second,36631.0
Kia,2006,46978,Diesel,Automatic,Second,111741.0
Renault,2019,28546,Petrol,Automatic,First,391576.0
Ford,2015,125078,Petrol,Manual,First,271455.0
Toyota,2017,45699,Petrol,Manual,First,396525.0
Honda,2012,46203,CNG,Automatic,First,322424.0
Kia,2014,98701,Diesel,Automatic,First,344745.0
Honda,2021,17681,Diesel,Manual,Second,456669.0
Ford,2024,112516,Diesel,Manual,Third,402652.0
Kia,2006,172989,Diesel,Manual,Second,39181.0
Maruti,2023,170554,Diesel,Manual,First,454592.0
Mahindra,2010,27634,Diesel,Manual,First,223678.0
Mahindra,2023,144867,Diesel,Automatic,First,458287.0
Maruti,2014,131214,Diesel,Manual,Second,257493.0
Volkswagen,2019,63386,Diesel,Manual,First,410553.0
Hyundai,2022,59777,Petrol,Automatic,First,492496.0
Hyundai,2007,132694,CNG,Automatic,First,113938.0
Kia,2016,119085,Diesel,Automatic,First,465361.0
Hyundai,2022,116487,Diesel,Manual,First,526558.0
Renault,2007,131452,Petrol,Manual,First,76323.0
Volkswagen,2015,165727,Petrol,Automatic,Second,223455.0
Renault,2020,141148,Petrol,Automatic,Second,347671.0
Ford,2017,20827,Petrol,Manual,First,348223.0
Hyundai,2022,146461,CNG,Manual,First,447019.0
Renault,2008,14040,Diesel,Manual,Second,73768.0
Renault,2017,122097,CNG,Automatic,Second,323398.0
Tata,2013,12026,Petrol,Manual,Second,221376.0
Renault,2009,20054,Petrol,Automatic,First,150052.0
Mahindra,2006,129233,Diesel,Manual,First,109260.0
Renault,2024,43348,Diesel,Manual,First,498442.0
Mahindra,2012,176504,Diesel,Manual,First,234186.0
Kia,2014,48450,Petrol,Manual,Second,263894.0
Hyundai,2013,169604,Petrol,Manual,First,300421.0
Hyundai,2007,175346,Petrol,Manual,First,93547.0
Kia,2013,116060,Petrol,Manual,First,235752.0
Maruti,2013,166079,Petrol,Manual,First,185182.0
Mahindra,2012,104010,Diesel,Manual,First,232843.0
Mahindra,2019,64972,Petrol,Manual,First,413017.0
Mahindra,2021,133923,CNG,Manual,First,403863.0
Toyota,2022,48036,Diesel,Manual,First,595924.0
Renault,2022,152348,Petrol,Manual,First,446993.0
Volkswagen,2006,16644,Petrol,Automatic,Second,119409.0
Honda,2019,31882,Petrol,Manual,Third,425512.0
Volkswagen,2017,83676,Petrol,Manual,Second,285817.0
Toyota,2023,117155,Petrol,Manual,First,530417.0
Renault,2005,78106,CNG,Manual,Second,35000.0
Mahindra,2018,29779,Petrol,Manual,Second,356509.0
Tata,2013,88950,Petrol,Manual,Second,209368.0
Hyundai,2017,45749,Petrol,Manual,First,335831.0
Honda,2010,52052,Diesel,Manual,Second,179475.0
Ford,2020,138508,Petrol,Manual,First,389154.0
Tata,2006,62943,Diesel,Automatic,First,106110.0
Hyundai,2011,107746,Petrol,Manual,First,168413.0
Toyota,2022,8839,CNG,Manual,First,596678.0
Honda,2011,38530,CNG,Manual,First,190986.0
Maruti,2005,104141,Petrol,Manual,Second,35000.0
Renault,2021,113562,Diesel,Automatic,Second,355188.0
Volkswagen,2014,114089,Diesel,Manual,Second,193310.0
Kia,2017,101793,CNG,Automatic,First,457172.0
Volkswagen,2018,174811,Petrol,Manual,First,321234.0
Renault,2024,90697,Petrol,Automatic,First,479763.0
